GDPC1,CCSA,NEWORDER,UMCSENT,PAYEMS,CPIAUCSL,MSACSR
-0.3,,,,0.2,1.4,
-0.2,,,,0.7,2.2,
1.6,,,,1.2,2.8,
1.5,,,,0.3,2.1,
1.7,,,,0.2,1.6,
0.6,,,,1.1,1.7,
0.1,,,,-0.1,-0.9,
-1.4,,,,-1.5,-1.0,
-0.3,,,,-1.1,-0.1,
1.0,,,,-0.8,-0.8,
-0.8,,,,-0.9,-0.2,
3.9,,,,0.8,-0.3,
3.0,,,,2.6,0.8,
3.9,,,,2.9,1.8,
1.9,,,,1.6,2.0,
1.4,,,,1.7,4.1,
1.7,,,,0.8,1.0,
2.1,,,,0.1,-0.1,
0.2,,,,0.3,1.5,
1.1,,,,0.6,0.4,
0.2,,,,0.2,0.3,
0.7,,,,0.6,0.7,
3.3,,,,2.2,0.1,
1.9,,,90.7,0.9,-0.3,
0.8,,,,0.3,0.4,
-0.6,,,80.8,0.0,0.5,
-1.5,,,80.7,-1.0,0.2,
-0.5,,,82.0,-1.2,0.2,
0.1,,,82.9,-0.7,-0.2,
1.1,,,,-0.3,-0.3,
2.0,,,87.0,0.6,-0.3,
2.9,,,95.9,1.1,0.1,
1.6,,,99.1,1.6,-0.1,
1.4,,,,1.2,0.1,
0.6,,,99.7,1.0,0.3,
-0.4,,,,1.0,0.0,
0.8,,,98.2,0.7,0.7,
-0.1,,,99.9,-0.2,1.0,
1.6,,,100.2,0.9,0.9,
0.6,,,,0.4,0.8,
-0.2,,,92.9,0.2,0.9,
1.0,,,,-0.2,0.9,
-1.0,,,83.7,-0.9,0.5,
-2.6,,,78.5,-1.7,1.2,
0.7,,,80.9,-1.4,0.7,
2.3,,,,0.6,-0.1,
2.3,,,90.8,1.1,0.1,
1.9,,,,1.7,0.2,
2.3,,,95.3,1.5,0.2,
0.1,,,,0.0,0.5,
0.3,,,93.8,0.4,0.6,
2.2,,,100.0,1.3,0.1,
-0.5,,,93.3,0.2,0.6,
0.5,,,97.2,-0.5,0.1,
-1.3,,,90.1,-0.6,0.6,
0.7,,,91.6,-0.6,0.2,
1.7,,,92.5,0.3,0.0,
1.9,,,99.2,0.9,0.4,
2.0,,,93.0,0.8,0.1,
1.8,,,99.9,0.7,0.4,
0.9,,,95.4,0.9,0.4,
1.2,,,91.6,0.4,0.3,
0.3,,,95.0,0.3,0.2,
1.1,,,98.4,0.3,0.3,5.9
1.1,,,91.7,0.7,0.2,5.5
2.2,,,96.4,0.5,0.6,5.2
0.7,,,94.4,0.7,0.3,5.8
2.1,,,99.5,0.7,0.4,5.7
1.1,,,98.5,0.6,0.2,6.0
1.6,,,100.6,1.0,0.2,5.4
0.3,,,99.9,0.9,0.5,5.5
2.4,,,102.0,1.1,0.3,5.5
1.3,,,105.4,1.1,0.6,5.2
2.2,,,103.4,1.2,0.3,4.9
2.3,,,102.9,1.3,0.5,4.7
2.4,,,100.0,1.3,0.9,4.9
0.3,,,95.7,1.5,0.9,5.5
0.8,,,91.2,1.1,0.9,6.6
0.8,,,88.3,0.8,0.8,6.3
0.9,1174833,,94.1,0.7,0.3,5.6
0.1,1269154,,95.9,0.2,0.6,4.7
0.9,1212500,,97.0,0.7,1.0,4.4
0.8,1164231,,92.9,0.8,1.1,4.5
2.0,1157308,,97.2,0.7,1.0,4.5
1.7,1072846,,92.4,0.9,1.0,5.3
0.8,1067154,,92.4,0.9,1.4,5.1
0.4,1052846,,91.7,1.0,1.2,5.3
1.6,1088385,,98.2,1.0,1.2,5.4
0.3,1015385,,91.5,1.0,1.6,6.0
0.7,1086769,,86.4,0.8,1.4,6.6
-0.5,1177769,,79.7,0.4,1.5,6.4
-0.1,1419000,,78.1,0.2,1.6,6.5
0.1,1776231,,75.4,-0.2,1.4,5.7
0.9,1956846,,77.6,-0.3,1.0,5.1
-1.1,2239231,,72.4,-0.6,1.5,4.7
2.7,2112154,,78.1,0.4,0.8,4.2
0.5,2167769,,80.2,0.5,0.9,4.5
0.8,2178385,,82.1,0.4,1.0,4.7
0.2,2150308,,82.0,0.6,0.7,5.0
1.8,1916692,,92.8,1.1,0.8,5.6
2.3,1876385,,88.6,1.1,0.6,6.1
0.9,1856786,,95.2,0.8,0.8,6.2
1.7,1724231,,90.7,1.3,1.0,6.3
2.5,1591462,,81.9,1.3,1.6,6.8
1.1,1560615,,77.0,0.9,2.1,7.7
-0.5,1647462,,72.0,0.6,2.0,9.2
0.9,1716154,,76.5,1.0,2.5,9.7
-0.9,2011923,,61.8,0.5,3.0,9.4
0.2,2065538,,72.1,0.4,2.7,8.7
-0.9,2190615,,64.4,0.1,2.8,9.1
-0.4,2844462,,59.5,-0.6,3.1,9.9
-1.2,3906077,,57.6,-1.6,2.1,9.7
0.7,4484154,,72.8,-0.5,1.2,7.1
1.7,3994615,,75.7,0.7,2.0,7.0
1.3,3476154,,75.6,0.9,1.8,6.1
2.2,2923923,,84.6,1.3,1.1,6.4
