GDPC1,CCSA,UMCSENT,UNRATE,CPIAUCSL
-0.3,,,,1.4
-0.2,,,,2.2
1.6,,,,2.8
1.5,,,,2.1
1.7,,,-1.8,1.6
0.6,,,2.7,1.7
0.1,,,1.8,-0.9
-1.4,,,21.7,-1.0
-0.3,,,25.7,-0.1
1.0,,,14.2,-0.8
-0.8,,,4.0,-0.2
3.9,,,-8.1,-0.3
3.0,,,-13.0,0.8
3.9,,,-16.8,1.8
1.9,,,-8.6,2.0
1.4,,,-17.3,4.1
1.7,,,-11.4,1.0
2.1,,,2.2,-0.1
0.2,,,6.3,1.5
1.1,,,-8.9,0.4
0.2,,,-3.3,0.3
0.7,,,9.0,0.7
3.3,,,-12.4,0.1
1.9,,90.7,-4.7,-0.3
0.8,,,-4.9,0.4
-0.6,,80.8,6.5,0.5
-1.5,,80.7,35.4,0.2
-0.5,,82.0,42.3,0.2
0.1,,82.9,10.1,-0.2
1.1,,,2.9,-0.3
2.0,,87.0,-10.6,-0.3
2.9,,95.9,-11.3,0.1
1.6,,99.1,-7.0,-0.1
1.4,,,-6.8,0.1
0.6,,99.7,3.3,0.3
-0.4,,,-4.7,0.0
0.8,,98.2,4.1,0.7
-0.1,,99.9,-1.6,1.0
1.6,,100.2,0.0,0.9
0.6,,,-4.8,0.8
-0.2,,92.9,4.2,0.9
1.0,,,3.3,0.9
-1.0,,83.7,16.5,0.5
-2.6,,78.5,27.7,1.2
0.7,,80.9,16.9,0.7
2.3,,,-0.5,-0.1
2.3,,90.8,-13.2,0.1
1.9,,,-8.4,0.2
2.3,,95.3,-12.6,0.2
0.1,,,3.3,0.5
0.3,,93.8,6.3,0.6
2.2,,100.0,-8.3,0.1
-0.5,,93.3,1.9,0.6
0.5,,97.2,5.7,0.1
-1.3,,90.1,13.3,0.6
0.7,,91.6,8.5,0.2
1.7,,92.5,2.9,0.0
1.9,,99.2,-3.3,0.4
2.0,,93.0,-8.4,0.1
1.8,,99.9,-9.1,0.4
0.9,,95.4,-1.8,0.4
1.2,,91.6,0.6,0.3
0.3,,95.0,-0.6,0.2
1.1,,98.4,4.2,0.3
1.1,,91.7,-0.6,0.2
2.2,,96.4,-4.1,0.6
0.7,,94.4,1.2,0.3
2.1,,99.5,-1.8,0.4
1.1,,98.5,-4.9,0.2
1.6,,100.6,-3.8,0.2
0.3,,99.9,-0.7,0.5
2.4,,102.0,-1.3,0.3
1.3,,105.4,-4.8,0.6
2.2,,103.4,-6.4,0.3
2.3,,102.9,-6.1,0.5
2.4,,100.0,-5.7,0.9
0.3,,95.7,-0.9,0.9
0.8,,91.2,-1.7,0.9
0.8,,88.3,-1.8,0.8
0.9,,94.1,3.6,0.3
0.1,8.0,95.9,0.0,0.6
0.9,-4.5,97.0,-0.9,1.0
0.8,-4.0,92.9,2.6,1.1
2.0,-0.6,97.2,-4.3,1.0
1.7,-7.3,92.4,-4.5,1.0
0.8,-0.5,92.4,-0.9,1.4
0.4,-1.3,91.7,-3.8,1.2
1.6,3.4,98.2,0.0,1.2
0.3,-6.7,91.5,1.0,1.6
0.7,7.0,86.4,3.9,1.4
-0.5,8.4,79.7,0.0,1.5
-0.1,20.5,78.1,16.8,1.6
0.1,25.2,75.4,14.4,1.4
0.9,10.2,77.6,8.4,1.0
-1.1,14.4,72.4,12.9,1.5
2.7,-5.7,78.1,1.7,0.8
0.5,2.6,80.2,-0.6,0.9
0.8,0.5,82.1,2.3,1.0
0.2,-1.3,82.0,-1.7,0.7
1.8,-10.9,92.8,-2.8,0.8
2.3,-2.1,88.6,-1.2,0.6
0.9,-1.0,95.2,-2.3,0.8
1.7,-7.1,90.7,-3.6,1.0
2.5,-7.7,81.9,-8.1,1.6
1.1,-1.9,77.0,0.0,2.1
-0.5,5.6,72.0,-2.7,2.0
0.9,4.2,76.5,-0.7,2.5
-0.9,17.2,61.8,7.7,3.0
0.2,2.7,72.1,1.3,2.7
-0.9,6.1,64.4,8.3,2.8
-0.4,29.8,59.5,17.2,3.1
-1.2,37.3,57.6,25.3,2.1
0.7,14.8,72.8,7.3,1.2
1.7,-10.9,75.7,-4.5,2.0
1.3,-13.0,75.6,-2.0,1.8
2.2,-15.9,84.6,-6.8,1.1
0.7,0.4,83.3,-2.2,0.9
0.5,3.1,89.7,2.2,1.6
0.7,0.2,87.0,0.4,1.5
1.2,-7.7,87.1,-3.4,1.8
1.9,-5.5,90.2,-4.9,1.7
1.8,-1.9,89.0,-3.3,1.4
0.0,-1.7,84.4,-3.4,1.5
0.3,-1.3,82.3,-5.0,1.7
3.9,-9.6,81.5,-5.3,2.3
1.0,2.1,80.4,0.6,2.3
1.3,-3.1,73.5,-2.2,2.3
0.2,6.4,71.5,-0.6,2.5
0.1,-3.9,66.6,-2.8,3.2
0.7,5.1,63.9,2.9,3.2
0.3,7.8,62.1,1.7,3.2
0.3,9.3,63.5,5.6,3.9
-2.1,23.1,54.4,16.4,3.4
-0.1,7.9,67.8,4.5,1.9
1.9,-12.1,72.1,-3.5,2.8
2.0,-10.5,68.3,0.5,2.8
-0.7,-2.9,73.9,-0.4,2.1
1.2,2.0,74.8,0.0,2.8
-1.1,12.4,65.7,11.3,1.6
-1.6,8.0,66.5,7.3,0.9
0.5,11.4,66.2,6.8,1.4
-0.4,6.9,66.7,4.9,1.7
0.0,6.9,72.5,7.7,0.3
1.3,-15.4,75.3,-2.8,0.1
2.3,-6.0,91.5,-2.3,1.2
2.0,-14.3,91.2,-7.6,1.0
2.1,-9.8,91.5,-8.9,1.0
2.0,-11.6,99.5,-7.8,1.4
1.7,-3.6,96.6,-5.5,0.9
1.0,0.3,98.9,0.0,0.9
0.8,6.6,95.0,-1.8,0.9
1.0,1.1,94.5,-0.9,0.9
0.9,-0.6,94.3,0.9,0.9
1.5,0.0,92.8,-1.4,0.6
0.7,2.8,91.1,-2.3,1.0
0.9,-1.7,95.5,0.0,0.5
0.5,2.0,96.8,1.9,-0.5
1.0,0.6,94.8,-2.8,0.6
0.5,-0.6,92.0,-1.9,0.7
0.7,-6.3,90.5,-3.4,1.2
1.1,-5.6,91.8,-5.1,1.1
0.9,-5.8,93.9,-4.3,1.1
1.7,-5.6,86.4,-2.8,0.9
0.5,3.4,92.3,-2.3,0.8
1.3,-4.0,93.6,-4.1,1.1
0.6,0.5,96.0,0.0,1.2
1.3,-2.9,93.0,-2.4,1.1
1.0,4.3,95.9,-2.5,1.1
0.8,0.1,90.9,0.6,1.6
0.7,4.4,92.5,0.0,0.8
0.2,3.9,91.8,2.5,1.0
1.1,3.3,91.3,-1.2,1.7
0.4,1.8,90.9,0.6,1.0
0.1,5.5,79.1,6.9,1.7
-0.9,13.3,65.1,7.6,1.7
-0.5,14.0,75.0,7.6,0.7
0.8,5.9,80.7,3.5,0.6
0.5,-4.8,82.6,0.5,0.8
0.3,0.7,71.9,3.4,0.8
1.2,0.1,70.8,3.8,0.7
1.1,0.1,78.9,3.2,0.8
1.0,-3.0,76.1,0.4,0.8
1.0,-8.4,83.2,-3.5,0.9
0.2,-9.2,87.3,-3.2,0.7
0.6,3.9,82.5,-0.9,0.7
0.5,0.5,77.4,-3.8,0.5
1.4,-0.1,84.0,-2.5,0.8
1.0,-1.8,93.0,-1.0,0.5
1.4,-0.5,92.2,-5.6,0.6
0.6,-3.3,90.7,-3.2,0.9
1.1,-3.8,93.1,-6.1,0.6
0.4,-0.9,94.3,-3.0,0.7
0.3,1.6,91.7,3.7,0.8
0.9,2.2,93.2,0.0,0.5
0.7,1.0,89.8,-1.8,0.5
0.7,1.1,90.5,-0.6,0.9
1.7,-3.3,91.5,-0.6,0.9
0.9,-3.9,94.9,-4.2,0.6
1.0,-1.2,97.5,1.3,0.9
0.6,-1.8,99.0,-1.9,0.6
1.7,-4.3,103.0,-4.5,0.2
1.3,-2.0,105.8,-2.7,0.5
0.9,-1.7,105.0,-4.1,0.5
1.0,1.0,107.8,-0.7,0.2
0.9,-3.1,106.9,-5.0,0.3
1.3,3.1,103.5,3.0,0.5
1.6,-2.1,100.2,-2.2,0.5
0.9,2.8,105.9,-3.0,0.4
0.8,-1.8,106.2,-0.8,0.7
1.3,-1.6,105.9,-0.8,0.7
1.7,-3.8,105.3,-3.9,0.7
0.4,0.8,110.1,-0.8,1.0
