observation_date,Unemp_claims,Man_New_Order,GDP,CPI,Labor_Force,Consumer_Sentiment,Monthly_House_Supply,Mortgage_Debt
1947-01-01,,,243.164,21.700,,,,
1947-04-01,,,245.968,22.010,,,,
1947-07-01,,,249.585,22.490,,,,
1947-10-01,,,259.745,23.127,,,,
1948-01-01,,,265.742,23.617,60230,,,
1948-04-01,,,272.567,23.993,60535,,,
1948-07-01,,,279.196,24.397,60934,,,
1948-10-01,,,280.366,24.173,60839,,,
1949-01-01,,,275.034,23.943,60967,,,
1949-04-01,,,271.351,23.917,61071,,,
1949-07-01,,,272.889,23.717,61508,,,
1949-10-01,,,270.627,23.660,62033,,,
1950-01-01,,,280.828,23.587,61651,,,
1950-04-01,,,290.383,23.767,62220,,,
1950-07-01,,,308.153,24.203,62355,,,
1950-10-01,,,319.945,24.693,62261,,,
1951-01-01,,,336.000,25.697,62082,,,
1951-04-01,,,344.090,25.947,61822,,,
1951-07-01,,,351.385,25.933,61938,,,
1951-10-01,,,356.178,26.317,62225,,,
1952-01-01,,,359.820,26.417,62191,,,
1952-04-01,,,361.030,26.487,61960,,,
1952-07-01,,,367.701,26.667,62099,,,
1952-10-01,,,380.812,26.697,62361,,,
1953-01-01,,,387.980,26.620,63539,90.7,,
1953-04-01,,,391.749,26.720,62948,,,
1953-07-01,,,391.171,26.843,62867,80.8,,
1953-10-01,,,385.970,26.890,62870,80.7,,
1954-01-01,,,385.345,26.953,63629,82.0,,
1954-04-01,,,386.121,26.910,63651,82.9,,
1954-07-01,,,390.996,26.840,63739,,,
1954-10-01,,,399.734,26.757,63669,87.0,,
1955-01-01,,,413.073,26.793,63829,95.9,,
1955-04-01,,,421.532,26.757,64476,99.1,,
1955-07-01,,,430.221,26.777,65451,,,
1955-10-01,,,437.092,26.857,66101,99.7,,
1956-01-01,,,439.746,26.860,66239,,,
1956-04-01,,,446.010,27.037,66563,98.2,,
1956-07-01,,,451.191,27.317,66713,99.9,,
1956-10-01,,,460.463,27.550,66634,100.2,,
1957-01-01,,,469.779,27.777,66740,,,
1957-04-01,,,472.025,28.013,66798,92.9,,
1957-07-01,,,479.490,28.263,67035,,,
1957-10-01,,,474.864,28.400,67196,83.7,,
1958-01-01,,,467.540,28.737,67173,78.5,,
1958-04-01,,,471.978,28.930,67739,80.9,,
1958-07-01,,,485.841,28.913,67954,,,
1958-10-01,,,499.555,28.943,67814,90.8,,
1959-01-01,,,510.330,28.993,67884,,,
1959-04-01,,,522.653,29.043,68265,95.3,,
1959-07-01,,,525.034,29.193,68505,,,
1959-10-01,,,528.600,29.370,68783,93.8,,
1960-01-01,,,542.648,29.397,68770,100.0,,
1960-04-01,,,541.080,29.573,69713,93.3,,
1960-07-01,,,545.604,29.590,69912,97.2,,
1960-10-01,,,540.197,29.780,70239,90.1,,
1961-01-01,,,545.018,29.840,70523,91.6,,
1961-04-01,,,555.545,29.830,70532,92.5,,
1961-07-01,,,567.664,29.947,70429,99.2,,
1961-10-01,,,580.612,29.990,70315,93.0,,
1962-01-01,,,594.013,30.107,70337,99.9,,
1962-04-01,,,600.366,30.220,70448,95.4,,
1962-07-01,,,609.027,30.307,70812,91.6,,
1962-10-01,,,612.280,30.380,70881,95.0,,
1963-01-01,,,621.672,30.477,71277,98.4,5.9,
1963-04-01,,,629.752,30.533,71718,91.7,5.5,
1963-07-01,,,644.444,30.720,71958,96.4,5.2,
1963-10-01,,,653.938,30.803,72296,94.4,5.8,
1964-01-01,,,669.822,30.930,72584,99.5,5.7,
1964-04-01,,,678.674,30.980,73234,98.5,6.0,
1964-07-01,,,692.031,31.050,73138,100.6,5.4,
1964-10-01,,,697.319,31.193,73353,99.9,5.5,
1965-01-01,,,717.790,31.290,73792,102.0,5.5,
1965-04-01,,,730.191,31.490,74369,105.4,5.2,
1965-07-01,,,749.323,31.583,74626,103.4,4.9,
1965-10-01,,,771.857,31.750,74909,102.9,4.7,
1966-01-01,,,795.734,32.047,75072,100.0,4.9,
1966-04-01,,,804.981,32.337,75477,95.7,5.5,
1966-07-01,,,819.638,32.617,75946,91.2,6.6,
1966-10-01,,,833.302,32.883,76483,88.3,6.3,
1967-01-01,1174833,,844.170,32.967,76496,94.1,5.6,
1967-04-01,1269154,,848.983,33.167,76940,95.9,4.7,
1967-07-01,1212500,,865.233,33.500,77663,97.0,4.4,
1967-10-01,1164231,,881.439,33.867,78292,92.9,4.5,
1968-01-01,1157308,,909.387,34.200,78021,97.2,4.5,
1968-04-01,1072846,,934.344,34.533,78746,92.4,5.3,
1968-07-01,1067154,,950.825,35.000,78880,92.4,5.1,
1968-10-01,1052846,,968.030,35.433,79195,91.7,5.3,
1969-01-01,1088385,,993.337,35.867,79874,98.2,5.4,
1969-04-01,1015385,,1009.020,36.433,80367,91.5,6.0,
1969-07-01,1086769,,1029.956,36.933,81074,86.4,6.6,
1969-10-01,1177769,,1038.147,37.500,81505,79.7,6.4,
1970-01-01,1419000,,1051.200,38.100,82210,78.1,6.5,
1970-04-01,1776231,,1067.375,38.633,82565,75.4,5.7,
1970-07-01,1956846,,1086.059,39.033,82912,77.6,5.1,
1970-10-01,2239231,,1088.608,39.600,83498,72.4,4.7,
1971-01-01,2112154,,1135.156,39.933,83676,78.1,4.2,
1971-04-01,2167769,,1156.271,40.300,83929,80.2,4.5,
1971-07-01,2178385,,1177.675,40.700,84581,82.1,4.7,
1971-10-01,2150308,,1190.297,41.000,85318,82.0,5.0,
1972-01-01,1916692,,1230.609,41.333,86208,92.8,5.6,
